guide_id	markers	n_control_cells	n_guide_cells	status	strongest_delta	strongest_log2fc	strongest_marker	target_gene	source_file	source_status
PDCD1LG2g1	{'CD86': {'guide_mean': 111.72, 'control_mean': 108.59, 'delta_mean': 3.13, 'log2fc': 0.0406}, 'PDL1': {'guide_mean': 229.42, 'control_mean': 218.47, 'delta_mean': 10.95, 'log2fc': 0.0702}, 'PDL2': {'guide_mean': 48.98, 'control_mean': 67.12, 'delta_mean': -18.14, 'log2fc': -0.4468}, 'CD366': {'guide_mean': 42.44, 'control_mean': 43.19, 'delta_mean': -0.76, 'log2fc': -0.0249}}	2386	142	measured	-18.14	-0.4468	PDL2	PDCD1LG2	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
PDCD1LG2g3	{'CD86': {'guide_mean': 112.54, 'control_mean': 108.59, 'delta_mean': 3.94, 'log2fc': 0.051}, 'PDL1': {'guide_mean': 226.56, 'control_mean': 218.47, 'delta_mean': 8.09, 'log2fc': 0.0522}, 'PDL2': {'guide_mean': 55.61, 'control_mean': 67.12, 'delta_mean': -11.51, 'log2fc': -0.267}, 'CD366': {'guide_mean': 43.58, 'control_mean': 43.19, 'delta_mean': 0.39, 'log2fc': 0.0125}}	2386	263	measured	-11.51	-0.267	PDL2	PDCD1LG2	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
PDCD1LG2g4	{'CD86': {'guide_mean': 101.12, 'control_mean': 108.59, 'delta_mean': -7.47, 'log2fc': -0.1019}, 'PDL1': {'guide_mean': 198.09, 'control_mean': 218.47, 'delta_mean': -20.38, 'log2fc': -0.1406}, 'PDL2': {'guide_mean': 39.64, 'control_mean': 67.12, 'delta_mean': -27.48, 'log2fc': -0.7453}, 'CD366': {'guide_mean': 35.29, 'control_mean': 43.19, 'delta_mean': -7.9, 'log2fc': -0.284}}	2386	136	measured	-27.48	-0.7453	PDL2	PDCD1LG2	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
PDCD1LG2g2	{'CD86': {'guide_mean': 91.36, 'control_mean': 108.59, 'delta_mean': -17.24, 'log2fc': -0.2469}, 'PDL1': {'guide_mean': 191.26, 'control_mean': 218.47, 'delta_mean': -27.21, 'log2fc': -0.1909}, 'PDL2': {'guide_mean': 39.34, 'control_mean': 67.12, 'delta_mean': -27.78, 'log2fc': -0.7559}, 'CD366': {'guide_mean': 33.33, 'control_mean': 43.19, 'delta_mean': -9.86, 'log2fc': -0.3644}}	2386	76	measured	-27.78	-0.7559	PDL2	PDCD1LG2	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
STAT2g2	{'CD86': {'guide_mean': 97.05, 'control_mean': 108.59, 'delta_mean': -11.54, 'log2fc': -0.1606}, 'PDL1': {'guide_mean': 195.81, 'control_mean': 218.47, 'delta_mean': -22.66, 'log2fc': -0.1572}, 'PDL2': {'guide_mean': 64.57, 'control_mean': 67.12, 'delta_mean': -2.56, 'log2fc': -0.0552}, 'CD366': {'guide_mean': 45.15, 'control_mean': 43.19, 'delta_mean': 1.96, 'log2fc': 0.0627}}	2386	266	measured	-22.66	-0.1572	PDL1	STAT2	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
STAT1g2	{'CD86': {'guide_mean': 116.2, 'control_mean': 108.59, 'delta_mean': 7.61, 'log2fc': 0.0969}, 'PDL1': {'guide_mean': 99.05, 'control_mean': 218.47, 'delta_mean': -119.42, 'log2fc': -1.1333}, 'PDL2': {'guide_mean': 49.4, 'control_mean': 67.12, 'delta_mean': -17.72, 'log2fc': -0.4346}, 'CD366': {'guide_mean': 44.0, 'control_mean': 43.19, 'delta_mean': 0.81, 'log2fc': 0.0261}}	2386	99	measured	-119.42	-1.1333	PDL1	STAT1	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
STAT3g4	{'CD86': {'guide_mean': 104.92, 'control_mean': 108.59, 'delta_mean': -3.67, 'log2fc': -0.0492}, 'PDL1': {'guide_mean': 244.25, 'control_mean': 218.47, 'delta_mean': 25.78, 'log2fc': 0.1603}, 'PDL2': {'guide_mean': 72.05, 'control_mean': 67.12, 'delta_mean': 4.93, 'log2fc': 0.1008}, 'CD366': {'guide_mean': 51.01, 'control_mean': 43.19, 'delta_mean': 7.82, 'log2fc': 0.2351}}	2386	75	measured	25.78	0.1603	PDL1	STAT3	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
JAK2g2	{'CD86': {'guide_mean': 95.81, 'control_mean': 108.59, 'delta_mean': -12.79, 'log2fc': -0.179}, 'PDL1': {'guide_mean': 92.71, 'control_mean': 218.47, 'delta_mean': -125.76, 'log2fc': -1.2278}, 'PDL2': {'guide_mean': 48.4, 'control_mean': 67.12, 'delta_mean': -18.72, 'log2fc': -0.4636}, 'CD366': {'guide_mean': 42.12, 'control_mean': 43.19, 'delta_mean': -1.07, 'log2fc': -0.0355}}	2386	363	measured	-125.76	-1.2278	PDL1	JAK2	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
STAT5Ag2	{'CD86': {'guide_mean': 111.75, 'control_mean': 108.59, 'delta_mean': 3.16, 'log2fc': 0.041}, 'PDL1': {'guide_mean': 225.03, 'control_mean': 218.47, 'delta_mean': 6.56, 'log2fc': 0.0425}, 'PDL2': {'guide_mean': 66.22, 'control_mean': 67.12, 'delta_mean': -0.91, 'log2fc': -0.0193}, 'CD366': {'guide_mean': 43.94, 'control_mean': 43.19, 'delta_mean': 0.74, 'log2fc': 0.0241}}	2386	157	measured	6.56	0.0425	PDL1	STAT5A	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
JAK2g3	{'CD86': {'guide_mean': 99.9, 'control_mean': 108.59, 'delta_mean': -8.69, 'log2fc': -0.1192}, 'PDL1': {'guide_mean': 100.66, 'control_mean': 218.47, 'delta_mean': -117.81, 'log2fc': -1.1102}, 'PDL2': {'guide_mean': 46.98, 'control_mean': 67.12, 'delta_mean': -20.14, 'log2fc': -0.5056}, 'CD366': {'guide_mean': 40.34, 'control_mean': 43.19, 'delta_mean': -2.86, 'log2fc': -0.0964}}	2386	173	measured	-117.81	-1.1102	PDL1	JAK2	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
STAT5Ag3	{'CD86': {'guide_mean': 112.45, 'control_mean': 108.59, 'delta_mean': 3.86, 'log2fc': 0.0499}, 'PDL1': {'guide_mean': 218.71, 'control_mean': 218.47, 'delta_mean': 0.24, 'log2fc': 0.0016}, 'PDL2': {'guide_mean': 64.89, 'control_mean': 67.12, 'delta_mean': -2.23, 'log2fc': -0.048}, 'CD366': {'guide_mean': 42.49, 'control_mean': 43.19, 'delta_mean': -0.7, 'log2fc': -0.023}}	2386	235	measured	3.86	0.0499	CD86	STAT5A	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
STAT3g3	{'CD86': {'guide_mean': 90.25, 'control_mean': 108.59, 'delta_mean': -18.34, 'log2fc': -0.2642}, 'PDL1': {'guide_mean': 205.45, 'control_mean': 218.47, 'delta_mean': -13.02, 'log2fc': -0.0883}, 'PDL2': {'guide_mean': 60.11, 'control_mean': 67.12, 'delta_mean': -7.01, 'log2fc': -0.1567}, 'CD366': {'guide_mean': 39.22, 'control_mean': 43.19, 'delta_mean': -3.97, 'log2fc': -0.1358}}	2386	208	measured	-18.34	-0.2642	CD86	STAT3	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
IRF7g2	{'CD86': {'guide_mean': 134.33, 'control_mean': 108.59, 'delta_mean': 25.74, 'log2fc': 0.3044}, 'PDL1': {'guide_mean': 242.07, 'control_mean': 218.47, 'delta_mean': 23.6, 'log2fc': 0.1474}, 'PDL2': {'guide_mean': 69.74, 'control_mean': 67.12, 'delta_mean': 2.62, 'log2fc': 0.0544}, 'CD366': {'guide_mean': 52.72, 'control_mean': 43.19, 'delta_mean': 9.52, 'log2fc': 0.2815}}	2386	165	measured	25.74	0.3044	CD86	IRF7	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
IFNGR1g4	{'CD86': {'guide_mean': 100.02, 'control_mean': 108.59, 'delta_mean': -8.57, 'log2fc': -0.1175}, 'PDL1': {'guide_mean': 115.6, 'control_mean': 218.47, 'delta_mean': -102.87, 'log2fc': -0.9125}, 'PDL2': {'guide_mean': 48.33, 'control_mean': 67.12, 'delta_mean': -18.79, 'log2fc': -0.4656}, 'CD366': {'guide_mean': 45.08, 'control_mean': 43.19, 'delta_mean': 1.89, 'log2fc': 0.0604}}	2386	281	measured	-102.87	-0.9125	PDL1	IFNGR1	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
IRF1g2	{'CD86': {'guide_mean': 105.38, 'control_mean': 108.59, 'delta_mean': -3.21, 'log2fc': -0.0429}, 'PDL1': {'guide_mean': 181.08, 'control_mean': 218.47, 'delta_mean': -37.39, 'log2fc': -0.2695}, 'PDL2': {'guide_mean': 58.16, 'control_mean': 67.12, 'delta_mean': -8.96, 'log2fc': -0.2034}, 'CD366': {'guide_mean': 51.24, 'control_mean': 43.19, 'delta_mean': 8.04, 'log2fc': 0.2413}}	2386	250	measured	-37.39	-0.2695	PDL1	IRF1	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
IFNGR1g2	{'CD86': {'guide_mean': 115.6, 'control_mean': 108.59, 'delta_mean': 7.01, 'log2fc': 0.0894}, 'PDL1': {'guide_mean': 158.23, 'control_mean': 218.47, 'delta_mean': -60.24, 'log2fc': -0.4629}, 'PDL2': {'guide_mean': 58.11, 'control_mean': 67.12, 'delta_mean': -9.02, 'log2fc': -0.2048}, 'CD366': {'guide_mean': 53.07, 'control_mean': 43.19, 'delta_mean': 9.88, 'log2fc': 0.2911}}	2386	359	measured	-60.24	-0.4629	PDL1	IFNGR1	datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	measured
